关键词,公司名称,法人,登记状态,成立日期,统一社会信用代码,注册资本,实缴资本,工商注册号,纳税人识别号,组织机构代码,行业,注册地址,经营范围
数据资产确权,中国光大银行股份有限公司,吴利军,存续,1992-06-18,91110000100011743X,4667909.5万人民币,2601077.84万人民币,100000000011748,91110000100011743X,10001174-3,货币金融服务,北京市西城区太平桥大街25号、甲25号中国光大中心,吸收公众存款；发放短期、中期和长期贷款；办理国内外结算；办理票据贴现；发行金融债券；代理发行、代理兑付、承销政府债券；买卖政府债券；从事同业拆借；买卖、代理买卖外汇；提供信用证服务及担保；代理收付款项及代理保险业务；提供保管箱服务；经中国人民银行和国家外汇管理局批准的其他业务。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）
数据资产确权,中国国际金融股份有限公司,陈亮,存续,1995-07-31,91110000625909986U,482725.6868万人民币,476625.6268万人民币,100000400005994,91110000625909986U,62590998-6,-,北京市朝阳区建国门外大街1号国贸大厦2座27层及28层,许可项目：证券业务；外汇业务；公募证券投资基金销售；证券公司为期货公司提供中间介绍业务；证券投资基金托管。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
数据资产确权,中国投资有限责任公司,彭纯,存续,2007-09-28,91100000710935038A,155000000万人民币,155000000万人民币,100000000041222,91100000710935038A,71093503-8,-,北京市朝阳门北大街1号新保利大厦16-19层,境内外币债券等外币类金融产品投资；境外债券、股票、基金、衍生金融工具等金融产品投资；境内外股权投资；对外委托投资；委托金融机构进行贷款；外汇资产受托管理；发起设立股权投资基金及基金管理公司；国家有关部门批准的其他业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
数据资产确权,新华人寿保险股份有限公司,杨玉成,存续,1996-09-28,911100001000238753,311954.66万人民币,48815万人民币,110000009900854,911100001000238753,10002387-5,保险业,北京市延庆区湖南东路16号(中关村延庆园),人民币、外币的人身保险（包托各类人寿保险、健康保险、意外伤害保险）；为境内外的保险机构代理保险、检验、理赔；保险咨询；依照有关法规从事资金运用。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）
数据资产确权,河北雄安链点科技有限公司,方红跃,存续,2018-03-23,91130629MA09WYY414,10500万人民币,2301万人民币,130629000023926,91130629MA09WYY414,MA09WYY4-1,软件和信息技术服务业,河北省保定市容城县城关镇罗萨大街环东小区4排28号,电子数据交换系统的设计、研发、信息系统集成；计算机软硬件开发及应用；技术咨询、技术转让、技术服务；互联网大数据信息采集、分析、建模；网站的设计与运营；媒体运营；信息技术咨询服务；互联网公共服务平台；互联网数据服务；互联网生活服务平台；互联网生产服务平台；互联网信息服务；数据交换与销售；计算机软件及辅助设备、电子产品的销售。自营和代理除国家组织统一联合经营的出口商品和国家实行核定公司经营的进口商品除外的其他货物的进出口业务（依法须经批准的项目，经相关部门批准后方可开展经营活动）
数据资产确权,中国雄安集团有限公司,田金昌,存续,2017-07-18,91130000MA08TH5G1J,3000000万人民币,1843000万人民币,130000000028737,91130000MA08TH5G1J,MA08TH5G-1,-,中国（河北）自由贸易试验区雄安片区容城县雄安市民服务中心雄安集团办公楼,以公司自有资金对外投资；公共设施管理服务，人力资源服务；市政基础设施和能源系统项目的建设投资、运营管理；房地产开发经营、物业管理；水利管理，生态保护和环境治理；软件和信息技术服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
数据资产确权,海南三亚果米科技有限公司,刘磊,存续,2019-06-17,91460000MA5TAGFN4M,5000万人民币,-,460000001402711,91460000MA5TAGFN4M,MA5TAGFN-4,互联网和相关服务,海南省三亚市吉阳区吉阳大道212号三亚市互联网双创中心,一般项目：互联网数据服务；信息系统集成服务；物联网技术服务；软件开发；工业互联网数据服务；数据处理服务；信息技术咨询服务；家用电器销售；电子产品销售；计算机软硬件及辅助设备零售；日用百货销售；人工智能双创服务平台；互联网安全服务；区块链技术相关软件和服务；生物质能资源数据库信息系统平台；数字文化创意内容应用服务；大数据服务；数字文化创意软件开发；数据处理和存储支持服务；信息系统运行维护服务（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）
数据资产确权,海南佰佳创想科技有限公司,张艳,,2019-02-18,91460000MA5T86GT1E,1000万人民币,-,460000001147394,91460000MA5T86GT1E,MA5T86GT-1,互联网和相关服务,海南省海口市龙华区金贸街道玉沙路富豪大厦C座北楼2501室,信息系统集成服务，信息技术咨询服务，软件和信息技术服务业，互联网公共服务平台，互联网数据服务，互联网生产服务平台，信息处理和存储支持服务，大数据服务，信息系统集成和物联网技术服务，互联网生活服务平台，网络与信息安全软件开发，计算机、软件及辅助设备批发，互联网零售，软件开发，基础软件开发，人工智能理论与算法软件开发，物联网技术服务，互联网平台，其他软件开发，支撑软件开发。
数据资产确权,雄安万科企业投资有限公司,曾亿,存续,2017-10-10,91130600MA0958RW84,200000万人民币,200000万人民币,130600000110563,91130600MA0958RW84,MA0958RW-8,商务服务业,河北省保定市雄县温泉路73号,项目投资管理，房屋建筑工程施工，房地产开发经营，机动车停车场设计、施工；广告设计、制作、发布，物业管理，养老服务，企业管理咨询、策划服务，贸易信息咨询，承办展览展示服务，餐饮服务，酒店管理，自有房屋及场地出租。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
数据资产确权,深圳达实智能股份有限公司,刘磅,存续,1995-03-17,914403006188861815,212058.1639万人民币,-,440301102717424,914403006188861815,61888618-1,-,深圳市南山区高新技术村W1栋A座五楼,一般经营项目是：互联网、云计算软件与平台服务；物联网系统研发与应用服务；智慧医疗信息系统研发与集成服务；医疗大数据开发与应用服务；医疗专业系统咨询、设计、集成服务；医疗投资管理；智能交通含轨道交通信号监控系统开发、技术咨询设计、销售与集成服务；智能建筑系统开发与集成、技术咨询设计；机电总包服务；智能卡、智能管控、安防监控等终端设备与软件的研发、销售及应用服务；能源监测与节能服务；合同能源管理服务；新能源技术开发和咨询设计服务；电力销售业务；电力网络增量配电网投资建设服务；相关领域境内及境外工程设计、安装及技术咨询；非居住房地产租赁。（法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营）（除依法须经批准的项目外，凭营业执照依法自主开展经营活动），许可经营项目是：互联网医疗服务；物业管理。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）
数据资产确权,中国南方航空雄安航空有限公司,郭志强,存续,2018-06-29,91130629MA0CFWAM0M,1000000万人民币,-,130629000029875,91130629MA0CFWAM0M,MA0CFWAM-0,航空运输业,河北省保定市容城县奥威路北侧润福苑第3幢2403号,提供国内、地区和国际定期及不定期航空客、货、邮、行李运输服务；提供航空器维修服务；经营国内外航空公司的代理业务；进行其他航空业务及相关业务，包括为该业务进行广告宣传；工程管理与技术咨询；航材销售；旅游代理服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
数据资产确权,雄安雄商发展有限公司,张耀东,存续,2020-06-29,91133100MA0F62KE02,604000万人民币,504000万人民币,133100000018144,91133100MA0F62KE02,MA0F62KE-0,公共设施管理业,中国（河北）自由贸易试验区雄安片区容城县雄安市民服务中心雄安集团办公楼316室,许可项目：房屋建筑和市政基础设施项目工程总承包；房地产开发经营；各类工程建设活动（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准）\u3000一般项目：市政设施管理；住房租赁；非居住房地产租赁；物业管理（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。
数据资产确权,河北雄安人力资源服务有限公司,刘恩成,存续,2018-07-27,91130629MA0CJ51R2X,2000万人民币,2000万人民币,130629000031986,91130629MA0CJ51R2X,MA0CJ51R-2,商务服务业,中国（河北）自由贸易试验区雄安片区容城县雄安市民服务中心雄安集团办公楼318-2,许可项目：职业中介活动；劳务派遣服务；人力资源服务（不含职业中介活动、劳务派遣服务）；呼叫中心；建筑物拆除作业（爆破作业除外）；物业管理；城市生活垃圾经营性服务；城市建筑垃圾处置（清运）；餐厨垃圾处理；餐饮服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：市场调查（不含涉外调查）；软件开发；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；信息技术咨询服务；信息系统集成服务；数据处理服务；会议及展览服务；办公服务；市场营销策划；组织文化艺术交流活动；广告设计、代理；广告发布（非广播电台、电视台、报刊出版单位）；广告制作；自然生态系统保护管理；装卸搬运；普通货物仓储服务（不含危险化学品等需许可审批的项目）；城市绿化管理；园区管理服务；专业保洁、清洗、消毒服务；建筑物清洁服务；创业空间服务；法律咨询（不包括律师事务所业务）；翻译服务；商务代理代办服务；人工智能公共服务平台技术咨询服务；人工智能公共数据平台；税务服务；财务咨询；信息咨询服务（不含许可类信息咨询服务）；社会经济咨询服务；企业管理；安全系统监控服务；单位后勤管理服务；标准化服务；知识产权服务；固体废物治理；市政设施管理；城乡市容管理；城市公园管理；环境卫生公共设施安装服务；停车场服务。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
数据资产确权,河北雄安远度科技有限公司,艾则孜瑞楠德,存续,2017-12-20,91120103MA06956J90,10000万人民币,-,120103000336270,91120103MA06956J90,MA06956J-9,科技推广和应用服务业,河北省保定市安新县旅游东路67号A102,智能化设备的技术开发、技术转让、技术咨询；无人机自动驾驶仪的技术开发、技术转让、技术咨询；无人驾驶航空器的技术开发、技术转让、技术咨询、技术服务；计算机系统集成；软件开发；计算机软件销售；机械设备、电子产品租赁；电子产品销售；电子产品现场维修。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
数据资产确权,河北雄安新区腾讯计算机系统有限公司,沈丹,存续,2017-09-26,91130600MA0948885X,2000万人民币,2000万人民币,130600000110338,91130600MA0948885X,MA094888-5,软件和信息技术服务业,河北省保定市容城县奥威路8号,计算机软、硬件的设计、技术开发、销售，数据库及计算机互联网络信息服务，系统集成服务，广告设计、代理、制作、发布，网络游戏服务，数据内容服务，数据处理和存储服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
数据资产确权,,,,,12140000MB02557919,,,,,,,,
数据资产确权,,,,,12150602MB08252726,,,,,,,,
数据资产确权,,,,,12152200460631882T,,,,,,,,
数据资产确权,,,,,12152800MB1K00019F,,,,,,,,
数据资产确权,,,,,12230184MB0016977M,,,,,,,,
数据资产确权,中国银联股份有限公司,蔡剑波,存续,2002-03-08,91310000736239890T,996327.2892万人民币,203078.064万人民币,310000000083040,91310000736239890T,73623989-0,-,中国（上海）自由贸易试验区郭守敬路498号,许可项目：银行卡清算服务；第一类增值电信业务；第二类增值电信业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：提供以银行卡清算业务为核心的电子支付技术和相关专业化服务；管理和经营“银联”品牌；制定以银行卡跨机构交易为基础的业务规范和技术标准，协调和仲裁机构间跨机构交易业务纠纷；组织行业培训、业务研讨和开展国际交流，从事相关研究咨询服务；提供金融信息服务、金融科技产品服务；提供金融信息技术、业务流程及知识流程外包服务；数据处理服务和相关咨询服务、数据技术开发和技术外包服务；设计、制作、发布国内广告；经有关主管部门批准的其他相关服务业务。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
数据资产确权,,,,,,,,,,,,,
数据资产确权,上海数据发展科技有限责任公司,李飞,存续,2016-04-01,91310106MA1FY0WCX5,31250万人民币,31249.95万人民币,310106000283376,91310106MA1FY0WCX5,MA1FY0WC-X,软件和信息技术服务业,上海市静安区万荣路1256、1258号3层,一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；互联网数据服务；数据处理和存储支持服务；人工智能应用软件开发；软件开发；人工智能行业应用系统集成服务；信息系统集成服务；信息技术咨询服务；网络与信息安全软件开发；大数据服务；数据处理服务；广告制作；广告设计、代理；广告发布；平面设计；信息咨询服务（不含许可类信息咨询服务）。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
数据资产确权,上海边界智能科技有限公司,奚海峰,存续,2016-12-23,91310115MA1K3KXAXC,1030.9279万人民币,-,310141000362982,91310115MA1K3KXAXC,MA1K3KXA-X,科技推广和应用服务业,中国（上海）自由贸易试验区张江路665号三层,一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；信息咨询服务（不含许可类信息咨询服务）；信息技术咨询服务；计算机软硬件及辅助设备零售；通讯设备销售；音响设备销售；办公用品销售；电子产品销售；五金产品零售；互联网销售（除销售需要许可的商品）；货物进出口；技术进出口；版权代理；其他文化艺术经纪代理；数字技术服务；数字广告发布；数字文化创意软件开发；数字内容制作服务（不含出版发行）；数字文化创意技术装备销售；数据处理服务；数据处理和存储支持服务；信息系统集成服务；工艺美术品及收藏品批发（象牙及其制品除外）；工艺美术品及收藏品零售（象牙及其制品除外）；工艺美术品及礼仪用品销售（象牙及其制品除外）；艺术品代理；艺（美）术品、收藏品鉴定评估服务；拍卖业务。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：基础电信业务；网络文化经营；出版物零售；互联网信息服务；第二类增值电信业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）
数据资产确权,优刻得科技股份有限公司,季昕华,存续,2012-03-16,91310110591673062R,45309.5081万人民币,45309.5081万人民币,310110000585691,91310110591673062R,59167306-2,-,上海市杨浦区隆昌路619号10#B号楼201室,从事网络科技、计算机技术领域内的技术开发、技术转让、技术咨询、技术服务，计算机、软件及辅助设备、电子产品的销售，计算机系统集成，电信业务（详见许可证），云平台服务，云软件服务，云基础设施服务，大数据服务，新兴软件及服务，人工智能公共服务平台，人工智能基础资源与技术平台。【依法须经批准的项目，经相关部门批准后方可开展经营活动】
数据资产确权,兴业数字金融服务（上海）股份有限公司,高鹏,存续,2015-11-10,91310000MA1FL0HA77,35000万人民币,25500万人民币,310000000154585,91310000MA1FL0HA77,MA1FL0HA-7,其他金融业,中国（上海）自由贸易试验区杨高南路729号第41层,一般项目：数据处理服务；信息咨询服务（不含许可类信息咨询服务）；软件开发；信息系统集成服务；信息技术咨询服务；投资管理；计算机软硬件及辅助设备批发；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：第一类增值电信业务；第二类增值电信业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）
数据资产确权,上海简苏网络科技有限公司,刘进,存续,2017-07-04,91310118MA1JM0CR3M,2000万人民币,2000万人民币,310118003482454,91310118MA1JM0CR3M,MA1JM0CR-3,专业技术服务业,上海市青浦区双联路158号2层K区235室,一般项目：从事网络科技、数据科技、数据处理服务、信息科技领域内的技术开发、技术咨询、技术服务、技术转让；数据处理服务；软件开发；信息系统集成服务；信息咨询服务（不含许可类信息咨询服务）；互联网销售（除销售需要许可的商品）；会议及展览服务；摄影扩印服务；图像视频处理软件的技术开发、技术咨询、技术转让；广告设计、代理；广告制作；广告发布（非广播电台、电视台、报刊出版单位）；版权代理；图文设计制作。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：货物进出口；技术进出口；网络文化经营；第一类增值电信业务；第二类增值电信业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）
数据资产确权,上海分布信息科技有限公司,笪鸿飞,存续,2016-12-12,91310110MA1G8AN43K,1265.0187万人民币,1183.508万人民币,310110000863116,91310110MA1G8AN43K,MA1G8AN4-3,-,上海市杨浦区伟成路62号402-A室,一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；货物进出口；技术进出口；进出口代理；软件开发；信息咨询服务（不含许可类信息咨询服务）；企业形象策划；市场营销策划；酒店管理；物业管理；会议及展览服务；互联网销售（除销售需要许可的商品）；数字文化创意技术装备销售；通讯设备销售；电子产品销售；组织文化艺术交流活动；广告设计、代理；广告制作；广告发布；艺术品代理；艺（美）术品、收藏品鉴定评估服务；工艺美术品及收藏品零售（象牙及其制品除外）；工艺美术品及礼仪用品销售（象牙及其制品除外）；数字内容制作服务（不含出版发行）。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：第一类增值电信业务；第二类增值电信业务；广播电视节目制作经营；网络文化经营；信息网络传播视听节目；艺术品进出口；拍卖业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）
数据资产确权,链极智能科技（上海）有限公司,庞引明,存续,2017-10-18,91310118MA1JM5NE0X,336.1345万人民币,251.0145万人民币,310118003532920,91310118MA1JM5NE0X,MA1JM5NE-0,专业技术服务业,上海市静安区万荣路1256、1258号10层,智能科技、计算机科技、网络科技、通讯科技专业领域内的技术开发、技术转让、技术咨询、技术服务，电子商务（不得从事增值电信、金融业务），票务代理，商务咨询，会务会展服务，展览展示服务，市场信息咨询与调查（不得从事社会调查、社会调研、民意调查、民意测验），酒店管理，餐饮企业管理，广告设计、制作、代理，文化艺术交流策划咨询，通讯设备维修，销售旅游用品、工艺礼品（象牙及其制品除外）、通信设备、计算机软硬件及辅助设备、日用百货、五金交电、建筑装潢材料、金属材料、汽配、化妆品、文化用品、办公用品、照明器材、珠宝首饰、钟表、眼镜、体育用品、苗木、花卉、汽车，从事货物及技术的进出口业务。【依法须经批准的项目，经相关部门批准后方可开展经营活动】
数据资产确权,银联商务股份有限公司,田林,存续,2002-01-08,91310000734572833M,278916.1383万人民币,278916.1383万人民币,310115400088402,91310000734572833M,73457283-3,-,中国（上海）自由贸易试验区张衡路1006、1008号,计算机软、硬件的开发、设计、制作、销售，系统集成服务，自有网络设备的销售和租赁（除金融租赁），技术服务、技术支持，从事软件科技、计算机科技、互联网科技领域内的技术咨询、技术转让，银行卡收单业务及专业化服务，互联网支付、移动电话支付、预付卡受理，广告设计、制作、代理、利用自有媒体发布，以服务外包形式从事银行等金融机构的后台业务服务，银行专用设备的租赁（除金融租赁）及寄库服务，银行自助设备的日常维护及管理，受银行委托承接现钞、硬币清分整理服务业务，电信业务，市场信息咨询与调查（不得从事社会调查、社会调研、民用调查、民意测验）。【依法须经批准的项目，经相关部门批准后方可开展经营活动】
数据资产确权,,,,,,,,,,,-,,
数据资产确权,北京爱康君安诊所有限公司,刘华,存续,2015-12-11,91110105MA002J2F5T,10000万人民币,10000万人民币,110105020380335,91110105MA002J2F5T,MA002J2F-5,卫生,北京市朝阳区建国门外郎家园10号1号楼4、5、6层,许可项目：医疗服务；食品销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：健康咨询服务（不含诊疗服务）；社会经济咨询服务；企业管理；企业形象策划；软件开发；图文设计制作；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；市场调查（不含涉外调查）；会议及展览服务；礼仪服务；机械设备销售；通讯设备销售；文具用品批发；文具用品零售；计算机软硬件及辅助设备批发；计算机软硬件及辅助设备零售；工艺美术品及收藏品零售（象牙及其制品除外）；化妆品零售。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
