公司名称,法人,登记状态,成立日期,统一社会信用代码,注册资本,实缴资本,工商注册号,纳税人识别号,组织机构代码,行业,注册地址,经营范围
沈阳沣意设计工程有限公司,,存续,2024/5/7,91210102MADHN4H19B,10万人民币,-,2.10E+14,91210102MADHN4H19B,MADHN4H1-9,-,辽宁省沈阳市和平区嘉兴街57-1号(2-3-1),许可项目：建设工程设计；建筑智能化系统设计；住宅室内装饰装修；测绘服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：工程管理服务；工业工程设计服务；规划设计管理；园林绿化工程施工；平面设计；环保咨询服务；图文设计制作；专业设计服务；广告设计、代理；工业设计服务；集成电路设计；安全技术防范系统设计施工服务；工程技术服务（规划管理、勘察、设计、监理除外）；办公服务；广告制作；计算机软硬件及辅助设备零售；工程造价咨询业务；软件开发；信息系统集成服务；信息咨询服务（不含许可类信息咨询服务）；信息技术咨询服务；科技中介服务；咨询策划服务；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；招投标代理服务；政府采购代理服务；社会稳定风险评估；财务咨询；打字复印；城乡市容管理；动漫游戏开发；商务代理代办服务；会议及展览服务。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
辽宁安贝信工程设计有限公司,徐荣涛,存续,2013/6/6,91210100064742345K,4000万人民币,500万人民币,2.10E+14,91210100064742345K,06474234-5,专业技术服务业,沈阳市和平区和平南大街2号,许可项目：建设工程设计；建设工程施工；建设工程监理；建筑智能化系统设计；施工专业作业；建筑劳务分包；电气安装服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：工程管理服务；海洋工程设计和模块设计制造服务；集成电路设计；安全技术防范系统设计施工服务；体育场地设施工程施工；土石方工程施工；园林绿化工程施工；隧道施工专用机械销售；电气设备销售；机械电气设备销售；建筑材料销售；轻质建筑材料销售；建筑用钢筋产品销售；金属材料销售；建筑砌块销售；水泥制品销售；石棉水泥制品销售；工程造价咨询业务；机械设备租赁；工程技术服务（规划管理、勘察、设计、监理除外）；电线、电缆经营；电力设施器材销售；电力电子元器件销售。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
辽宁千达装饰设计工程有限公司,胡婉茹,存续,2018/3/26,91210114MA0XMBW00J,500万人民币,-,2.10E+14,91210114MA0XMBW00J,MA0XMBW0-0,建筑装饰、装修和其他建筑业,辽宁省沈阳市铁西区沈新东路27号B区1层207,许可项目：消防技术服务，消防设施工程施工，住宅室内装饰装修，建设工程设计，建筑智能化系统设计（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准）一般项目：园林绿化工程施工，土石方工程施工，对外承包工程，金属门窗工程施工，工程管理服务，体育场地设施工程施工，普通机械设备安装服务，建筑装饰材料销售，家具安装和维修服务，日用百货销售，建筑材料销售，电线、电缆经营，机械零件、零部件销售，防腐材料销售，保温材料销售，配电开关控制设备销售，门窗销售，建筑砌块销售，建筑防水卷材产品销售，建筑用金属配件销售，地板销售，日用木制品销售，照明器具销售，家用电器安装服务，物业管理，轻质建筑材料销售，半导体照明器件销售，灯具销售，幻灯及投影设备销售，汽车装饰用品销售，家居用品销售，电气设备销售，日用品销售，互联网销售（除销售需要许可的商品），日用玻璃制品销售，日用杂品销售，照明器具生产专用设备销售，金属工具销售，平面设计，智能输配电及控制设备销售，五金产品批发，特种劳动防护用品销售，模具销售，建筑陶瓷制品销售，金属制品销售，家用电器销售，家用电器零配件销售，电器辅件销售，家用电器研发，日用电器修理，电子产品销售，厨具卫具及日用杂品批发，日用家电零售，电工器材销售，信息技术咨询服务，安全技术防范系统设计施工服务，技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广，农业园艺服务，外卖递送服务，网络技术服务，信息系统运行维护服务，计算机系统服务，人力资源服务（不含职业中介活动、劳务派遣服务），会议及展览服务，办公服务，专业设计服务，工业设计服务，居民日常生活服务，礼仪服务，建筑物清洁服务，专业保洁、清洗、消毒服务，咨询策划服务，消防器材销售，安全系统监控服务，卫生洁具销售，卫生陶瓷制品销售，集贸市场管理服务，办公设备销售，办公设备耗材销售，办公用品销售，办公设备租赁服务，图文设计制作，集成电路设计（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
中建（辽宁）设计院有限公司,毛岩岩,存续,2020/12/17,91210112MA10RUJN77,6000万人民币,-,2.10E+14,91210112MA10RUJN77,MA10RUJN-7,专业技术服务业,辽宁省沈阳市铁西区南十中路4号103,许可项目：建设工程设计，人防工程设计，建筑智能化系统设计，文物保护工程设计，房屋建筑和市政基础设施项目工程总承包，住宅室内装饰装修，建设工程勘察，工程造价咨询业务，文物保护工程勘察，地质灾害治理工程勘查，地质灾害治理工程设计，建筑智能化工程施工，建筑劳务分包，电力设施承装、承修、承试，文物保护工程施工，地质灾害治理工程施工，各类工程建设活动，消防设施工程施工，施工专业作业，测绘服务，检验检测服务，建设工程质量检测，矿产资源勘查，特种设备设计（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准）一般项目：工业设计服务，规划设计管理，承接总公司工程建设业务，对外承包工程，工程和技术研究和试验发展，工程管理服务，专业设计服务，安全技术防范系统设计施工服务，集成电路芯片设计及服务，集成电路设计，船舶设计，园林绿化工程施工，环境保护监测（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
大连群利房地产开发有限公司,王洋,存续,2013/1/23,91210231058086310K,30000万人民币,-,2.10E+14,91210231058086310K,05808631-0,房地产业,辽宁省大连高新技术产业园区广贤路137号智业广场B1座319B室,房地产开发、销售；土地平整服务（以上项目凭资质证经营）***（依法须经批准的项目，经相关部门批准后方可开展经营活动。）
海城市兄弟建筑设计有限公司,王赜,存续,2021/8/6,91210381MA1195XY08,100万人民币,-,2.10E+14,91210381MA1195XY08,MA1195XY-0,专业技术服务业,辽宁省鞍山市海城市兴海管理区铁西街钢南委祥圣小区兴源街17栋2单元1层14号,许可项目：建筑智能化系统设计，建设工程设计（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准）一般项目：专业设计服务，工业设计服务，平面设计，对外承包工程，船舶设计，广告设计、代理，图文设计制作，人防工程设计，工业工程设计服务，工程技术服务（规划管理、勘察、设计、监理除外），集成电路设计，安全技术防范系统设计施工服务，集成电路芯片设计及服务，技术进出口，货物进出口（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
大连通质微电子有限公司,郭斌,存续,2015/12/1,91210283MA0QCJDU6Y,50万人民币,-,2.10E+14,91210283MA0QCJDU6Y,MA0QCJDU-6,软件和信息技术服务业,辽宁省大连庄河市新华街道工人委1-2层,集成电路设计、制造、销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动。）
大连维德智能视觉技术创新中心有限公司,王儒根,存续,2016/12/25,91210231MA0TQNB323,4800万人民币,1300万人民币,2.10E+14,91210231MA0TQNB323,MA0TQNB3-2,研究和试验发展,辽宁省大连高新技术产业园区亿阳路6A号三丰大厦12层03单元,集成电路设计、开发、技术咨询及服务；软件开发；信息技术咨询服务；电子设备设计开发；数据处理和存储服务；工业自动控制系统技术开发；铁路专用设备及器材、配件技术开发；货物进出口、技术进出口、国内一般贸易。（依法须经批准的项目，经相关部门批准后方可开展经营活动。）
丹东民安科技有限公司,张炯里,存续,2007/4/26,91210603661211403A,20万人民币,20万人民币,2.11E+14,91210603661211403A,66121140-3,仪器仪表制造业,丹东市振兴区浪头镇滨江村三组,设计、开发、研制：光机电一体化、智能开发、智能机械制造、集成电路设计及销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动。）
石头科技（大连）有限公司,戚国健,存续,2017/1/23,91210231MA0TTDFE73,10万人民币,-,2.10E+14,91210231MA0TTDFE73,MA0TTDFE-7,软件和信息技术服务业,辽宁省大连市高新园区亿阳路6c号8层5号房间,软件开发；信息系统集成服务；信息技术咨询服务；数据处理和存储服务；集成电路设计。（依法须经批准的项目，经相关部门批准后方可开展经营活动。）
希瑞集成电路科技（大连）有限责任公司,孙照东,存续,2020/12/29,91210204MA10TJPE25,10万人民币,-,2.10E+14,91210204MA10TJPE25,MA10TJPE-2,软件和信息技术服务业,辽宁省大连市甘井子区静蕙街10号楼1单元4层6号,一般项目：软件开发，人工智能应用软件开发，人工智能基础软件开发，软件外包服务，网络与信息安全软件开发，人工智能理论与算法软件开发，信息系统集成服务，智能控制系统集成，集成电路设计，人工智能通用应用系统，人工智能行业应用系统集成服务，物联网技术服务，信息系统运行维护服务，数据处理和存储支持服务，信息技术咨询服务，数据处理服务，计算机系统服务，大数据服务（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
海城市东四管理区诚峰设计所,王显峰,存续,2023/8/28,92210381MACT64789K,,-,2.10E+14,92210381MACT64789K,MACT6478-9,专业技术服务业,,一般项目：工业设计服务，专业设计服务，集成电路设计，平面设计，图文设计制作（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
朝阳北斗电源有限公司,安海莲,存续,2016/9/19,91211302MA0QFKPU1X,1000万人民币,10万人民币,2.11E+14,91211302MA0QFKPU1X,MA0QFKPU-1,计算机、通信和其他电子设备制造业,辽宁省朝阳市龙城区文化路五段104号17C,集成一体化电源、模块电源、数字集成电路、模拟集成电路、混合集成电路和模块集成电路设计、制造、销售及其技术开发、技术咨询、技术服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动。）
沈阳市大东区有我软件设计工作室,谭宇轩,存续,2021/1/27,92210104MA10UT8X2Q,,-,2.10E+14,92210104MA10UT8X2Q,MA10UT8X2,软件和信息技术服务业,,一般项目：软件开发，网络与信息安全软件开发，软件外包服务，动漫游戏开发，集成电路设计，专业设计服务，集成电路芯片设计及服务，工业设计服务，平面设计，图文设计制作，技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广，软件销售（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
龙港区万羽空间设计装饰工作室,张天宇,存续,2020/7/13,92211403MA10GP0T1P,,-,2.11E+14,92211403MA10GP0T1P,MA10GP0T-1,专业技术服务业,,一般项目：图文设计制作，广告设计、代理，集成电路设计，规划设计管理，专业设计服务，平面设计，建筑装饰材料销售（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
大连戴姆科技有限公司,王成全,存续,2013/9/27,9.12E+17,500万人民币,180万人民币,2.10E+14,9.12E+17,07945538-1,软件和信息技术服务业,辽宁省大连高新技术产业园区世达街13号5层13号,计算机软件开发；集成电路设计；计算机信息系统技术服务；计算机集成实施服务；国内一般贸易。（以上依法须经批准的项目，经相关部门批准后方可开展经营活动）。***
大连君豪船舶与海洋工程设计有限公司,王殿君,存续,2020/3/12,91210244MA107T9E8W,500万人民币,-,2.10E+14,91210244MA107T9E8W,MA107T9E-8,研究和试验发展,辽宁省大连长兴岛经济区黄海街11号1单元11层2号,一般项目：船舶设计，海洋工程设计和模块设计制造服务，专业设计服务，集成电路设计，规划设计管理，工业设计服务，技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广，知识产权服务（专利代理服务除外），信息技术咨询服务，信息咨询服务（不含许可类信息咨询服务），企业管理咨询，教育咨询服务（不含涉许可审批的教育培训活动），业务培训（不含教育培训、职业技能培训等需取得许可的培训），劳务服务（不含劳务派遣），对外承包工程，科技中介服务，金属船舶制造，船用配套设备制造，船舶制造，船舶改装，船舶自动化、检测、监控系统制造，船舶修理，金属结构制造，海洋工程装备制造，海洋工程平台装备制造，海洋工程装备销售，深海石油钻探设备销售，水上运输设备零配件销售，海洋工程关键配套系统开发，图文设计制作，工程技术服务（规划管理、勘察、设计、监理除外），软件开发，软件外包服务，人力资源服务（不含职业中介活动、劳务派遣服务），网络技术服务，网络与信息安全软件开发（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
辽宁国华电力勘察设计有限公司,李锋,存续,2021/12/9,91210242MA7EGBJG12,300万人民币,-,2.10E+14,91210242MA7EGBJG12,MA7EGBJG-1,电力、热力生产和供应业,辽宁省大连市瓦房店市岗店办事处西长春路西段143-55号,许可项目：电气安装服务，建筑智能化系统设计，建设工程设计，文物保护工程设计，地质灾害治理工程设计，建设工程施工，建设工程质量检测，建设工程监理，建设工程勘察，施工专业作业，住宅室内装饰装修（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准）一般项目：集成电路设计，人防工程设计，规划设计管理，集成电路芯片设计及服务，工业设计服务，专业设计服务，平面设计，工业工程设计服务，工程管理服务，园林绿化工程施工，土石方工程施工，金属门窗工程施工，对外承包工程（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
沈阳大赏设计有限公司,马腾,存续,2020/7/27,91210105MA10HJKHXQ,10万人民币,-,2.10E+14,91210105MA10HJKHXQ,MA10HJKH-X,专业技术服务业,辽宁省沈阳市皇姑区塔湾街2号甲1（1-24-1）,一般项目：专业设计服务，平面设计，工业设计服务，集成电路设计，图文设计制作，规划设计管理，园林绿化工程施工，体育场地设施工程施工，土石方工程施工，金属门窗工程施工，家具销售，灯具销售，工艺美术品及收藏品批发（象牙及其制品除外），针纺织品销售，塑料制品销售，建筑材料销售，电线、电缆经营，防腐材料销售，保温材料销售，轻质建筑材料销售，配电开关控制设备销售，门窗销售，建筑砌块销售，建筑防水卷材产品销售，建筑装饰材料销售，广告设计、代理（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
沈阳喆雨设计咨询有限公司,涂浩,存续,2023/2/15,91210104MAC8X914XB,10万人民币,-,2.10E+14,91210104MAC8X914XB,MAC8X914-X,专业技术服务业,辽宁省沈阳市大东区联合路203号4-7-1,一般项目：信息技术咨询服务，信息咨询服务（不含许可类信息咨询服务），专业设计服务，图文设计制作，工业设计服务，平面设计，工业工程设计服务，集成电路设计，广告设计、代理，企业管理咨询，咨询策划服务，规划设计管理，园林绿化工程施工，工程管理服务，工程造价咨询业务，工程技术服务（规划管理、勘察、设计、监理除外）（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
沈阳关枫设计咨询有限公司,朱枫,存续,2022/11/2,91210112MAC1CQ2GXN,10万人民币,-,2.10E+14,91210112MAC1CQ2GXN,MAC1CQ2G-X,专业技术服务业,辽宁省沈阳市浑南区创新路33-6号（2-4-2）,一般项目：专业设计服务，图文设计制作，工业设计服务，平面设计，工业工程设计服务，集成电路设计，广告设计、代理，信息技术咨询服务，信息咨询服务（不含许可类信息咨询服务），企业管理咨询，咨询策划服务，规划设计管理，园林绿化工程施工，工程管理服务，工程造价咨询业务，工程技术服务（规划管理、勘察、设计、监理除外）（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
珲春市同辉集成电路设计工作室,刘宽,存续,2022/8/30,92222404MABXYMD72N,,-,2.22E+14,92222404MABXYMD72N,MABXYMD7-2,软件和信息技术服务业,,一般项目：集成电路设计；集成电路销售；集成电路芯片及产品销售；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
珲春市源芯集成电路设计工作室,于健波,存续,2022/8/2,92222404MABWGP6506,-,-,2.22E+14,92222404MABWGP6506,MABWGP65-0,软件和信息技术服务业,延边州珲春边境经济合作区23号小区金马大学生创业园509室,一般项目：集成电路设计；集成电路销售；集成电路芯片及产品销售；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
珲春市凌耀集成电路设计工作室,张春艳,存续,2022/7/21,92222404MABW15EF7D,-,-,2.22E+14,92222404MABW15EF7D,MABW15EF-7,软件和信息技术服务业,延边州珲春市靖和街环亚山城A区13号楼308室,一般项目：集成电路设计；集成电路销售；集成电路芯片及产品销售；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
吉林吉大通信设计院股份有限公司,周伟,存续,1985/4/10,9.12E+17,27257.003万人民币,11024.9998万人民币,2.20E+14,9.12E+17,12399032-3,软件和信息技术服务业,长春市朝阳区南湖学府经典小区第9幢701室,一般项目：信息系统集成服务；信息技术咨询服务；通信设备制造；通信设备销售；计算机软硬件及辅助设备零售；电子产品销售；工程造价咨询业务；货物进出口；技术进出口；进出口代理；智能农业管理；云计算设备制造；物联网设备制造；数字视频监控系统制造；智能家庭消费设备制造；智能仪器仪表制造；对外承包工程；通讯设备销售；智能基础制造装备销售；国内贸易代理；互联网设备销售；可穿戴智能设备销售；广播影视设备销售；光纤销售；光通信设备销售；光电子器件销售；电子专用设备销售；电子测量仪器销售；计算器设备销售；软件销售；终端测试设备销售；智能仪器仪表销售；智能家庭消费设备销售；智能车载设备销售；云计算设备销售；移动通信设备销售；移动终端设备销售；信息安全设备销售；物联网设备销售；网络设备销售；卫星移动通信终端销售；数字视频监控系统销售；卫星通信服务；卫星导航服务；人工智能双创服务平台；互联网安全服务；互联网数据服务；物联网应用服务；远程健康管理服务；数字文化创意内容应用服务；区块链技术相关软件和服务；网络技术服务；人工智能公共服务平台技术咨询服务；人工智能公共数据平台；人工智能基础资源与技术平台；大数据服务；软件开发；人工智能基础软件开发；人工智能应用软件开发；智能水务系统开发；软件外包服务；网络与信息安全软件开发；人工智能理论与算法软件开发；智能机器人的研发；数字文化创意软件开发；集成电路设计；智能控制系统集成；卫星导航多模增强应用服务系统集成；卫星遥感应用系统集成；卫星技术综合应用系统集成；人工智能通用应用系统；人工智能行业应用系统集成服务；物联网技术服务；信息系统运行维护服务；数据处理和存储支持服务；卫星遥感数据处理；计算机系统服务；量子计算技术服务；云计算装备技术服务；工业互联网数据服务；5G通信技术服务；信息咨询服务（不含许可类信息咨询服务）；认证咨询；工程和技术研究和试验发展；集成电路芯片设计及服务；工程管理服务；专业设计服务；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；工程技术服务（规划管理、勘察、设计、监理除外）；工业工程设计服务；物联网技术研发；咨询策划服务；移动通信设备制造；光通信设备制造；网络设备制造；计算机软硬件及辅助设备批发。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：建设工程设计；建筑智能化系统设计；建设工程施工；测绘服务；建设工程勘察；第二类增值电信业务；建筑劳务分包。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）
长春半导体有限公司,赵会昌,存续,2006/6/9,91220101785920877W,1000万人民币,1000万人民币,2.20E+14,91220101785920877W,78592087-7,计算机、通信和其他电子设备制造业,长春市高新开发区畅达路177号,一般项目：半导体分立器件制造；半导体分立器件销售；集成电路制造；集成电路销售；电子元器件制造；集成电路芯片及产品制造；集成电路芯片及产品销售；光电子器件制造；光电子器件销售；集成电路设计；软件开发；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；信息技术咨询服务。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
长春长光圆辰微电子技术有限公司,王小东,存续,2016/12/29,91220101MA1400C331,41000万人民币,40700万人民币,220101MA1400C33,91220101MA1400C331,MA1400C3-3,计算机、通信和其他电子设备制造业,经开区营口路18号,一般项目：集成电路制造；集成电路设计；集成电路销售；电子元器件制造；电子元器件零售；电子元器件批发；集成电路芯片设计及服务；集成电路芯片及产品制造；集成电路芯片及产品销售；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；半导体分立器件制造；半导体分立器件销售；软件开发；软件销售；技术进出口；货物进出口；企业管理；生产线管理服务；工程管理服务；信息咨询服务（不含许可类信息咨询服务）；销售代理；基础化学原料制造（不含危险化学品等许可类化学品的制造）；国内贸易代理；专用设备修理；半导体器件专用设备销售；电子专用设备销售。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
吉林省建苑设计集团长春立思建筑设计有限公司,庞海泉,存续,2021/9/26,91220100MA84Y1L90P,200万人民币,-,2.20E+14,91220100MA84Y1L90P,MA84Y1L9-0,专业技术服务业,长春市汽开区凯达北街乙二路长虹工业园一期研发办公楼,许可项目：建设工程设计；建设工程施工；文物保护工程施工；地质灾害治理工程施工；建筑物拆除作业（爆破作业除外）；建筑智能化系统设计；输电、供电、受电电力设施的安装、维修和试验；建设工程监理；施工专业作业；检验检测服务；住宅室内装饰装修；文物保护工程设计；特种设备设计；地质灾害治理工程设计；国土空间规划编制；测绘服务；建设工程勘察；文物保护工程勘察；地质灾害治理工程勘查。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：住宅水电安装维护服务；承接总公司工程建设业务；建筑工程机械与设备租赁；建筑用石加工；普通机械设备安装服务；工程管理服务；城乡市容管理；园林绿化工程施工；文物文化遗址保护服务；节能管理服务；集成电路设计；人防工程设计；规划设计管理；工业设计服务；专业设计服务；工业工程设计服务；对外承包工程；环保咨询服务；信息技术咨询服务；工程造价咨询业务；体育场地设施工程施工；土石方工程施工；安全技术防范系统设计施工服务；打字复印。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
吉林省立仕电梯有限公司,孙雷,存续,2010/6/22,91220101556362007F,500万人民币,50万人民币,2.20E+14,91220101556362007F,55636200-7,批发业,长春市净月开发区大信·悦福汇第1＃、2＃、3＃、4＃、6＃、7＃【幢】7-112号房,许可项目：特种设备安装改造修理。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：特种设备销售；机械设备销售；电子专用设备销售；电子专用材料销售；电子元器件零售；光电子器件销售；电子产品销售；电子元器件与机电组件设备销售；电子、机械设备维护（不含特种设备）；五金产品批发；五金产品零售；集成电路芯片及产品销售；集成电路销售；机械电气设备销售；家用电器销售；集成电路设计；劳务服务（不含劳务派遣）。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
吉林省领峰科技信息技术有限公司,魏庆祝,存续,2021/6/10,91220102MA84Q9F74X,500万人民币,-,220102MA84Q9F74X,91220102MA84Q9F74X,MA84Q9F7-4,科技推广和应用服务业,人民大街与卫星路交汇处财富领域1907号,一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；工业工程设计服务；工程管理服务；工程技术服务（规划管理、勘察、设计、监理除外）；互联网销售（除销售需要许可的商品）；广告设计、代理；工业互联网数据服务；物联网设备销售；安全技术防范系统设计施工服务；信息技术咨询服务；信息系统集成服务；软件开发；通讯设备销售；软件销售；网络与信息安全软件开发；物联网技术研发；物联网技术服务；劳务服务（不含劳务派遣）；信息安全设备销售；集成电路设计；人工智能应用软件开发；广播电视传输设备销售；广播影视设备销售；数据处理和存储支持服务；电子产品销售；家用电器安装服务；光通信设备销售；专用设备修理；机械设备租赁；网络设备销售；人工智能基础软件开发；通信设备销售；计算机软硬件及辅助设备零售；计算机软硬件及辅助设备批发；移动通信设备销售；电容器及其配套设备销售；计算器设备销售；数据处理服务；专业设计服务；数字内容制作服务（不含出版发行）；动漫游戏开发；教育咨询服务（不含涉许可审批的教育培训活动）；集成电路销售；物联网应用服务；销售代理。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
吉林省辽河集成电路设计院有限公司,罗艳红,存续,2022/7/14,91220400MABU33172T,20000万人民币,-,2.20E+14,91220400MABU33172T,MABU3317-2,计算机、通信和其他电子设备制造业,辽源市开发区财富大路与甲六交汇创业大厦1302室,一般项目：集成电路制造；集成电路设计；集成电路销售；电子元器件批发；电子产品销售；集成电路芯片及产品销售；集成电路芯片设计及服务。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
川诚（吉林省）艺术文化设计有限公司,李嘉诚,存续,2021/12/23,91220105MA7EMLW462,100万人民币,-,2.20E+14,91220105MA7EMLW462,MA7EMLW4-6,专业技术服务业,长春市经济开发区吉林大路6388号中意国际（A、B座）2602号,一般项目：图文设计制作；规划设计管理；专业设计服务；平面设计；广告设计、代理；人防工程设计；工业设计服务；集成电路设计；工业工程设计服务；礼仪服务；影视美术道具置景服务；办公服务；工程管理服务；工程技术服务（规划管理、勘察、设计、监理除外）；摄像及视频制作服务；文艺创作；智能农业管理；个人互联网直播服务；互联网设备销售；农作物种子经营（仅限不再分装的包装种子）；广告发布；农副产品销售；初级农产品收购；教育咨询服务（不含涉许可审批的教育培训活动）；教育教学检测和评价活动；创业空间服务；人工智能双创服务平台；体育健康服务；组织体育表演活动；广告制作；互联网销售（除销售需要许可的商品）；信息咨询服务（不含许可类信息咨询服务）。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
吉林耀迅实业有限公司,史同宝,存续,2021/8/6,91220221MA84T07M8F,1000万人民币,-,2.20E+14,91220221MA84T07M8F,MA84T07M-8,计算机、通信和其他电子设备制造业,吉林市永吉县永吉经济开发区长春街666号创新创业基地综合服务楼4楼401室,一般项目：半导体器件专用设备制造；集成电路设计；物联网技术服务；集成电路制造；模具制造；其他电子器件制造；移动通信设备制造；企业管理咨询；计算机软硬件及外围设备制造；电子产品销售；软件开发；货物进出口。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
吉林省禹惟工程设计有限公司,王文儒,存续,2021/6/10,91220104MA84QHTE24,500万人民币,-,220104MA84QHTE24,91220104MA84QHTE24,MA84QHTE-2,互联网和相关服务,吉林省长春市朝阳区西安大路与安达街交汇绿地蓝海B座1009,许可项目：建设工程设计。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：工程技术服务（规划管理、勘察、设计、监理除外）；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；互联网销售（除销售需要许可的商品）；工业互联网数据服务；广告设计、代理；通信设备销售；物联网设备销售；安全技术防范系统设计施工服务；信息技术咨询服务；软件开发；信息系统集成服务；通讯设备销售；软件销售；网络与信息安全软件开发；工程管理服务；工业工程设计服务；物联网技术研发；物联网技术服务；信息安全设备销售；集成电路设计；广播电视传输设备销售；广播影视设备销售；数据处理服务；动漫游戏开发；电子产品销售；家用电器安装服务；安全咨询服务；光通信设备销售；专用设备修理；计算机软硬件及辅助设备零售；网络设备销售；小微型客车租赁经营服务；工业控制计算机及系统销售；通信传输设备专业修理；移动通信设备销售；通讯设备修理；专业设计服务；计算机系统服务；广告制作；平面设计；数字内容制作服务（不含出版发行）；数字文化创意软件开发；玩具、动漫及游艺用品销售；文化场馆管理服务；办公设备耗材销售；集成电路销售；物联网应用服务。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
吉林省雷度设计服务有限公司,高俊荣,存续,2024/4/18,91220106MADJFUG385,200万人民币,-,,91220106MADJFUG385,MADJFUG3-8,专业技术服务业,长春市绿园区春城大街与南阳路交汇处大众花园小区926栋13单元236号房,一般项目：专业设计服务；工业设计服务；工业工程设计服务；平面设计；集成电路芯片设计及服务；图文设计制作；集成电路设计；信息系统集成服务；工程造价咨询业务；工程技术服务（规划管理、勘察、设计、监理除外）；工程管理服务；节能管理服务；软件开发；租赁服务（不含许可类租赁服务）；数字内容制作服务（不含出版发行）；计算机软硬件及辅助设备批发；数据处理服务；生物质能技术服务；数据处理和存储支持服务；个人商务服务；工业互联网数据服务；互联网数据服务；信息系统运行维护服务；摄像及视频制作服务；计算机软硬件及辅助设备零售；信息安全设备销售；摄影扩印服务；消防技术服务；信息技术咨询服务；办公服务；动漫游戏开发；软件外包服务；企业管理；计算机系统服务；企业管理咨询；信息咨询服务（不含许可类信息咨询服务）；社会经济咨询服务；健康咨询服务（不含诊疗服务）；互联网安全服务；标准化服务；礼仪服务；咨询策划服务；安全咨询服务；集成电路芯片及产品销售；网络设备销售。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
